gesture_id,tap,app_name,origin_first_finger,pressure_first_finger,time_stamp_first,size_first_finger,x_coordinate_first_finger,y_coordinate_first_finger,distance,iskid
54,Swipe,,False,52,1504807913905,4.0,469,1145,0.0,0
327,Unidentified,com.google.android.youtube,False,23,1501451952835,2.0,449,1431,0.0,1
193,Swipe,,True,27,1504804834098,2.0,730,1625,0.0,0
143,Swipe,com.google.android.apps.photos,True,65,1499123944479,7.0,779,1502,0.0,1
278,Swipe,,False,54,1499124182290,5.0,586,1218,0.0,1
173,Swipe,com.google.android.apps.photos,True,47,1504804781308,4.0,1117,1669,0.0,0
26,Tap,,False,89,1504807828891,8.0,180,1550,0.0,0
87,Swipe,,False,24,1504191230887,3.0,149,332,0.0,1
245,Tap,com.google.android.apps.photos,True,28,1504542334023,4.0,152,243,0.0,1
88,Swipe,com.google.android.apps.photos,True,57,1502035950464,5.0,795,1619,0.0,0
97,Swipe,,False,66,1504195338533,6.0,562,1099,0.0,1
263,Tap,com.mehequanna.gestureplayground,False,127,1501962676826,15.0,187,1467,0.0,0
104,Tap,com.mehequanna.gestureplayground,False,61,1504201787661,5.0,381,2055,0.0,0
359,Unidentified,com.google.android.apps.photos,True,39,1504801108689,3.0,1293,1795,0.0,1
248,Tap,,False,59,1499365086418,4.0,306,1338,0.0,0
208,Tap,,False,79,1499644550305,7.0,308,934,0.0,0
187,Tap,,False,30,1507563864557,2.0,532,2018,0.0,0
307,Unidentified,com.google.android.apps.photos,True,59,1504198144362,6.0,264,1553,0.0,1
53,Swipe,,False,38,1504537181344,3.0,458,1953,0.0,0
454,Unidentified,com.google.android.youtube,True,31,1504203178959,4.0,1035,1670,0.0,1
155,Unidentified,com.google.android.googlequicksearchbox,True,35,1499371407038,4.0,841,1970,0.0,0
37,Tap,,False,62,1498777541546,7.0,313,990,0.0,0
353,Unidentified,,True,26,1499365275347,2.0,1107,1897,0.0,0
11,Tap,,False,27,1504191093910,1.0,286,502,0.0,1
193,Tap,com.google.android.apps.photos,True,27,1504197152988,1.0,361,1493,0.0,0
202,Swipe,com.google.android.apps.photos,True,67,1504205432703,8.0,926,1767,0.0,0
215,Tap,,False,50,1499125401079,4.0,251,1271,0.0,1
64,Swipe,,False,41,1498777591075,3.0,666,1155,0.0,0
148,Swipe,com.google.android.apps.photos,True,64,1499644428102,5.0,1150,1507,0.0,0
127,Tap,,False,39,1501451391147,3.0,651,1484,0.0,1
21,Tap,com.google.android.apps.photos,True,22,1501450953911,1.0,918,1883,0.0,1
169,Swipe,com.google.android.apps.photos,True,62,1504195451860,4.0,175,896,0.0,1
172,Tap,com.mehequanna.gestureplayground,False,70,1500219040975,6.0,180,177,0.0,1
169,Tap,com.mehequanna.gestureplayground,False,32,1502036066491,3.0,213,864,0.0,0
210,Tap,,True,29,1504807264436,1.0,1185,1665,0.0,0
72,Swipe,,False,54,1504202893523,5.0,499,1203,0.0,0
71,Swipe,,True,23,1504720156967,1.0,363,1694,0.0,0
57,Swipe,com.google.android.apps.photos,True,19,1499364845406,2.0,1394,1709,0.0,0
18,Tap,com.mehequanna.gestureplayground,False,48,1504199000933,4.0,229,896,0.0,0
84,Swipe,,True,47,1501962236566,5.0,353,1696,0.0,0
12,Swipe,com.google.android.apps.photos,True,49,1504208266537,6.0,885,1564,0.0,1
122,Tap,com.google.android.apps.photos,True,59,1504190006233,6.0,1124,1496,0.0,1
101,Tap,,False,56,1504189952698,4.0,481,319,0.0,1
460,Unidentified,,True,33,1504795876784,1.0,200,1807,0.0,1
165,Swipe,com.google.android.apps.photos,True,25,1499818295036,1.0,573,1533,0.0,1
7,Unidentified,com.touchlogger,False,32,1504797751887,5.0,1422,2051,0.0,1
140,Tap,,False,25,1500676454830,2.0,639,1538,0.0,1
77,Tap,,False,38,1501195092604,4.0,333,1219,0.0,0
226,Tap,,False,36,1500676608777,3.0,217,776,0.0,1
143,Swipe,com.google.android.googlequicksearchbox,True,42,1502036028569,4.0,1110,1888,0.0,0
23,Tap,,False,59,1504200339497,5.0,671,1502,0.0,0
19,Swipe,com.google.android.apps.photos,True,31,1501270528490,3.0,1303,1736,0.0,0
315,Swipe,com.google.android.apps.photos,True,23,1499818607629,2.0,1082,1673,0.0,1
318,Unidentified,com.google.android.apps.photos,True,48,1504801036770,4.0,545,1908,0.0,1
131,Tap,,False,56,1504197943357,4.0,510,301,0.0,1
306,Tap,com.google.android.youtube,True,51,1507563987063,5.0,762,604,0.0,0
274,Tap,,False,43,1499365119717,4.0,191,239,0.0,0
224,Swipe,com.google.android.apps.photos,True,25,1501195562591,2.0,311,1789,0.0,0
369,Tap,,True,49,1504798762994,4.0,1123,1147,0.0,1
356,Swipe,com.google.android.youtube,True,37,1504191773657,2.0,1045,2039,0.0,1
47,Tap,com.google.android.apps.photos,True,61,1500218848204,6.0,361,1918,0.0,1
279,Unidentified,,True,24,1498778030425,1.0,254,1948,0.0,0
150,Tap,,False,60,1500219949561,6.0,486,919,0.0,0
131,Unidentified,com.google.android.apps.photos,True,34,1504203023354,3.0,1152,1785,0.0,0
261,Tap,com.google.android.youtube,True,38,1504807372124,4.0,637,1697,0.0,0
148,Tap,,False,57,1507565859676,6.0,296,1000,0.0,0
251,Tap,com.google.android.youtube,True,45,1500220185245,3.0,95,183,0.0,0
334,Unidentified,,True,34,1504204678626,3.0,1082,1404,0.0,0
196,Unidentified,,True,44,1502053550130,4.0,911,1568,0.0,1
213,Swipe,com.google.android.apps.photos,True,47,1498776611209,4.0,1108,1695,0.0,1
341,Swipe,,True,36,1501962897301,4.0,655,1704,0.0,0
272,Unidentified,,True,39,1504805078449,4.0,1272,1926,0.0,0
211,Swipe,com.google.android.apps.photos,True,47,1499818394830,4.0,623,1520,0.0,1
347,Swipe,,False,56,1501271090012,6.0,511,1220,0.0,0
538,Swipe,,True,48,1504198584069,4.0,783,1120,0.0,1
83,Swipe,,False,27,1498777634835,2.0,75,2131,0.0,0
